target,Subdoligranulum,Bifidobacterium,Coprobacillus,Escherichia,Enterobacter,Bacteroides,Akkermansia,Prevotella,Blautia,Alistipes,Ruminococcus,Eubacterium,Collinsella,Lactobacillus,Parabacteroides,Faecalibacterium,Porphyromonas,Streptococcus,Clostridium,Siphoviridae_noname,Methanobrevibacter,Megamonas,Acidaminococcus,Fusobacterium,Butyrivibrio,Coprococcus,Klebsiella,Roseburia,Megasphaera,Dialister,Parvimonas,Lachnospiraceae_noname,Dorea,Paraprevotella,Erysipelotrichaceae_noname,Bilophila,Odoribacter,Clostridiales_noname,Eggerthella,Desulfovibrio,Citrobacter,Anaerostipes,Phascolarctobacterium,Catenibacterium,Sutterella,Enterococcus,Pseudomonas,Veillonella,Peptostreptococcaceae_noname,Mitsuokella,Oscillibacter,Barnesiella,Peptostreptococcus,Sutterellaceae_unclassified,Bacteroidales_noname,Slackia,C2likevirus,Ruminococcaceae_noname,Haemophilus,Propionibacterium,Adlercreutzia,Acidaminococcaceae_unclassified,Coriobacteriaceae_noname,Solobacterium,Anaerotruncus,Coprobacter,Gemella,Turicibacter,Flavonifractor,Actinomyces,Oxalobacter,Clostridiaceae_noname,Lactococcus,Gordonibacter,Holdemania,Burkholderiales_noname,Atopobium,Rothia,Parasutterella,Alloscardovia,Granulicatella,Olsenella,Leuconostoc,Pseudoflavonifractor,Clostridiales_Family_XIII_Incertae_Sedis_noname,Pantoea,Corynebacterium,Candidatus_Saccharibacteria_noname,Butyricimonas,Scardovia,Clostridiales_Family_XIII_Incertae_Sedis_unclassified,Saccharomyces,Oribacterium,Candidatus_Saccharibacteria_noname_unclassified,Deinococcus,Potyvirus,Neisseria,Abiotrophia,Bacillus,Campylobacter,Raoultella
0,0.0213555,0.0191633,0.0012339,2.24e-5,0,0.2694401,0,0,0.0745989,0.0257771,0.0697618,0.0637031,0.0338934,0.0059275,0.0364425,0.0745627,0,0.0684275,0.0216888,0,0.0029397,0,0,0,1.665e-4,0.0086538,0,0.0767347,0,0,0,0.0044377,0.0095252,0.0190707,0.0064097,0.00451129999999999,0.0021121,0.0016977,1.56e-4,0.0059387,0,7.14e-5,0.0311634,0,0.00672019999999999,9.138e-4,0,1.948e-4,0,6.96e-5,0.0137481,0.0035412,0,0,0.0047235,0,0,0.0063314,0,2.51e-5,8.59e-5,0,0,0,5.657e-4,0,0,0,1.46e-4,4.68e-5,0,5.867e-4,0,5.059999999999999e-4,6.932e-4,0,1.674e-4,0,0,0,9.6e-6,1.05e-5,0,2.31e-5,0,0,0,0,1.722e-4,2.583e-4,1e-5,0,0,0,0,0,0,0,0,0,0
0,0.0487089,0.1402168,0.0027166,0.2113785,3.28e-5,0.1239671,0.0174756,1.184e-4,0.0097894,0.0485792,0.0098887,0.0570335,0.003773,1.56e-5,0.0100294,0.0542219,0,0.0046314,0.0638398,0,0.0073176,0,0,0,3.18e-5,0.0134987,0,0.0138336,0,0,0.0054987,0.0020001,0.016343,0,0.0320602,9.391e-4,0.0086679,0,3.786e-4,5.848e-4,0,0.0011486,0.019494,0,0.001515,0.0106671,0.0034607,6.873999999999999e-4,6.604e-4,3.052e-4,4.435e-4,0.0353489,2.38e-5,0,0.0065006,0,0,1.17e-5,0.003307,0,2.8e-5,0,0,1.7e-5,1.769e-4,4.930000000000001e-5,1.36e-5,0,1.14e-5,2.673e-4,0,2.083e-4,0.007052,8.9e-6,1.212e-4,0,0,6.04e-5,3.15e-5,0,0,4.59e-5,0,8.3e-6,0,1.693e-4,0,0,0,0,9.42e-5,0,0,0,2.26e-5,0,0,0,0,0,0
0,0.0377337,0.0098435,0,0,0,0.1963545,0,0,0.0060084,0.0232185,0.0128852,0.368771,0.0013077,1.17e-4,0.0133877,0.0394754,0,0.0158,5.65e-5,0,1.88e-5,0,0,0,1.399e-4,0.1143826,0,0.0580096,0,0,0,0.0153065,0.0020619,0.0101192,0.0021273,4.721e-4,0.0068653,0,0,0,0,3.097e-4,0.030438,0,0.0139919,0,0,0.0036921,5.166e-4,5.28e-5,7.407999999999999e-4,0,0,0,0.0015391,0,0,0,0.0125409,0,2.15e-5,0,0,0,3.302e-4,4.737e-4,0,0,0,0,0,0,0,0,7.060000000000001e-5,0,0,1.7e-6,9.01e-5,0,3.12e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0785175,0.0805569,0,0.0513295,0,0.1827911,0.0129079,0.0037786,0.0368011,0.0602259,0.06947160000000001,0.0928943,0.0088417,0,0.0443098,0.0887195,0.0035836,2.928e-4,0.0041725,0,0.038489,0.0135546,0,0.0112248,3.076e-4,0.0109868,0,0.0065177,0,0,2.424e-4,0.004983,0.0043141,0.00518039999999999,2.689e-4,0.0258472,0.0012347,0.0161122,3.47e-5,0.0042687,0,9.2e-6,0,0,0,1.21e-5,0,8.9e-6,1.842e-4,4.7e-5,0.005248,0.0147449,7.584e-4,0,0.0097521,4.465e-4,0,1.545e-4,0,0,2.612e-4,0,0,0.0011022,0.0013026,1.683e-4,0,0,6.905e-4,1.666e-4,1.261e-4,1.774e-4,0,0,2.423e-4,6.22e-5,0,6.03e-5,3.76e-5,0,6.6e-5,4.737e-4,0,1.06e-4,8.5e-6,0,0,0,0,0,2.333e-4,2.81e-5,0,0,0,0,0,0,0,0,0
0,0.0364829,0.0302087,0.0078888,0.0089652,0,0.07382620000000001,0.017203800000000002,5.512000000000001e-4,0.0587728,0.0386446,0.2386581,0.1889459,7.08e-5,0.0020878,0.0151451,0.08565110000000001,0,0.0073479,0.0026043,0,0.0182533,0,0,1.588e-4,7.24e-5,0.0252399,0,0.0028935,0,0,0,0.0081271,0.0362239,5.999999999999999e-6,8.064000000000001e-4,0.0017247,0.0058218,0,8.759999999999999e-4,3.945e-4,0,4.03e-5,7.07e-5,0,0,0.001508,0,0,0.0016767,0,0.0070757,0.0312872,1.98e-5,0,0.0025471,0,0,0.0071698,0,3.28e-4,5.623000000000001e-4,0,0.0249219,3.49e-5,5.969e-4,1.022e-4,2.57e-5,0,1.532e-4,1.549e-4,2.6e-5,2.14e-5,0,3.009e-4,2.16e-4,5.693e-4,7.1e-6,1.52e-5,0.0010129,1.741e-4,0,0,8.72e-5,4.312e-4,1.2e-6,0,0,0,0,0,2.13e-5,0,0,0,0,0,0,0,0,0,0
0,0.0222044,0.1077256,0,0.0826343,1.035e-4,0.0307767,6.5e-5,0.008534,0.0314034,0.0100587,0.0558577,0.1397828,0.0392294,0.0875743,0.0115337,0.0381971,0,0.0289636,9.865e-4,0,0.0715093,0,3.138e-4,0,1.049e-4,0.0503268,0.0031187,0.0050844,0.0040376,2.837e-4,5.219999999999999e-5,0.00193,0.06629109999999999,0,0.0550544,0.0036272,0.0042631,4.5e-6,4.97e-5,0,0,5.106e-4,1.434e-4,0,2.08e-4,5.965e-4,0,8.26e-5,9.687e-4,0.0029295,9.048e-4,0.0228413,1.33e-5,0,8.395e-4,0,0,3.12e-5,6.96e-5,0,1.595e-4,1.395e-4,0,1.081e-4,6.302e-4,0,2.585e-4,0,1.22e-5,4.263e-4,5.15e-5,0,4.633e-4,1e-6,0,0,9.01e-5,6.63e-5,9.1e-6,0,1.787e-4,2.97e-4,0,2.64e-5,4.299999999999999e-6,2.317e-4,1.26e-5,3.09e-5,7e-7,1.22e-5,1.192e-4,0,0,1.64e-5,1.47e-5,0,0,0,0,0,0
0,0.0201382,0,0,0,0,0.5591589,5.89e-4,0,0.0128979,0.0574158,0.0044963,0.06795670000000001,0.0012863,0,0.0589707,0.0449522,0,0.0033556,0.0042353,0.0018376,0,0,1.557e-4,0,0,0.0071115,0,0.0289393,0,0,0,0.006691,0.0013888,0,0.0110432,0.0016326,0.00670409999999999,0,0,2.913e-4,0,3.87e-5,0.0369345,0,0.0099508,0,0,1.034e-4,0.0010399,0,0.0051861,0.0181474,0,0.0147191,0.0013854,0,0.0058151,2.25e-5,0,0,0,0,0,0,0,3.246e-4,0,0.0032078,6.8e-6,0,0,0,6.486e-4,0,1.299e-4,2.204e-4,0,0,2.855e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0184922,0.0305837,3.225e-4,0.0020687,0,0.0750486,0.3532953,0,0.0176412,0.0093244,0.08069290000000001,0.0190261,0.0015348,0.0014785,0.0212965,0.0097496,0,0.0186854,0.0306776,0,0.108465,0,0,0,0,0.0054667,0,0.0039021,0,0,0.0044285,0.0132201,0.0181048,0,0.0514611,0.0033618,0.0068384,1.91e-5,0.0086204,0,0,0.001694,0,0,0,1.96e-5,0,0,0.0028169,4.23e-5,0.0032559,0.0417458,0.0110398,0,0.00541139999999999,0,0,5.87e-5,2.7e-5,3.62e-5,0,0,0.0135237,3.759e-4,2.401e-4,0,8.88e-5,3.63e-5,7.793e-4,2.134e-4,0,0,1.388e-4,1.568e-4,4.33e-5,0,7.1e-6,0,0.0022036,0,4.19e-5,0.0011118,2.34e-5,2.666e-4,2.21e-5,0,0,8.599999999999999e-6,0,0,5.735e-4,0,0,5.42e-5,3.14e-5,0,0,0,0,0,0
0,0.0060111,3.123e-4,0.0010501,0.0011625,0,0.1744711,0,1.572e-4,0.0376395,0.0182767,0.2402265,0.2823426,2.7e-6,1.684e-4,0.0492751,0.0833718,0,0.0116217,0.0203641,0.0159081,8.47e-5,0,0,0,2.83e-5,2.33e-5,0,6.622e-4,0,0.0089868,1.318e-4,0.0245162,1.723e-4,0,4.904e-4,0.0024843,0.0038357,2.245e-4,0.0013991,0,0,0.0028928,0,0,0,6.003e-4,0,2.05e-5,6.691999999999999e-4,7.860000000000001e-5,0.0023002,0,0,0,9.637e-4,0,0,0,0,0,0,0,0,3.09e-5,7.230000000000001e-5,0,1.464e-4,0,4.745e-4,3.22e-5,0,0,1.26e-4,2.393e-4,1.782e-4,7.82e-4,3.5e-5,0,0.0022286,0,2.23e-4,0,0.0021827,0,0,0,7.699999999999999e-6,1.108e-4,0,0,1.59e-5,0,0,2.16e-5,0,0,0,0,0,0,0
1,0.1042495,1.299e-4,1.743e-4,0.00700289999999999,0,0.3075406,0,0.0364671,0.0130135,0.0882484,0.0258301,0.027654,0.0043658,0,0.0193381,0.06366139999999999,9.244e-4,0.0502118,0.0168532,0,0,0,0,8.939999999999999e-4,0,0.0113123,0,0.0394952,0.0019682,9.691e-4,0.0013854,0.0033537,0.0021283,0,0.0109247,0.0080896,0.0042546,3.599e-4,5.59e-4,0,0,0,0,0,0.0069548,0,0,0.0473975,8.82e-5,9.01e-5,0.0037033,0.0019398,0.0377613,0,0,2.633e-4,0,0.0010101,0.0172076,0,0,0,0,9.986e-4,5.059999999999999e-4,0,5.402e-4,0,6.77e-5,6.92e-5,0,0,0.001023,0,0,0,6.841e-4,4.921e-4,0,0,4.009e-4,4.9e-6,0,6.024e-4,0.0022564,0,0,0,0,0,0,0,5.44e-5,0,1.002e-4,0,0,0,0,0,0
